"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 20 02:07:53 EST 2020","Sun Dec 20 02:08:06 EST 2020","12252","","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sun Dec 20 02:05:21 EST 2020","Sun Dec 20 02:05:33 EST 2020","12224","","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sun Dec 20 02:05:14 EST 2020","Sun Dec 20 02:05:15 EST 2020","1365","","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"skipped","Sun Dec 20 02:07:02 EST 2020","Sun Dec 20 02:07:05 EST 2020","2735","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sun Dec 20 02:05:07 EST 2020","Sun Dec 20 02:05:08 EST 2020","1675","","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"skipped","Sun Dec 20 02:07:27 EST 2020","Sun Dec 20 02:07:33 EST 2020","6032","","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sun Dec 20 02:07:46 EST 2020","Sun Dec 20 02:07:48 EST 2020","1514","","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sun Dec 20 02:07:10 EST 2020","Sun Dec 20 02:07:22 EST 2020","11706","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sun Dec 20 02:06:12 EST 2020","Sun Dec 20 02:06:15 EST 2020","2687","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4]",""
"passed","Sun Dec 20 02:06:45 EST 2020","Sun Dec 20 02:06:48 EST 2020","2668","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8]",""
"passed","Sun Dec 20 02:06:28 EST 2020","Sun Dec 20 02:06:31 EST 2020","2584","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6]",""
"passed","Sun Dec 20 02:05:47 EST 2020","Sun Dec 20 02:05:50 EST 2020","2776","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1]",""
"passed","Sun Dec 20 02:08:40 EST 2020","Sun Dec 20 02:08:43 EST 2020","3385","","test_product_page","TestProductPage","","","test_user_can_add_product_to_basket",""
"passed","Sun Dec 20 02:07:39 EST 2020","Sun Dec 20 02:07:40 EST 2020","1238","","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sun Dec 20 02:06:04 EST 2020","Sun Dec 20 02:06:07 EST 2020","2668","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3]",""
"passed","Sun Dec 20 02:08:17 EST 2020","Sun Dec 20 02:08:28 EST 2020","11416","","test_product_page","TestProductPage","","","test_user_cant_see_success_message",""
"skipped","Sun Dec 20 02:06:37 EST 2020","Sun Dec 20 02:06:39 EST 2020","2622","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7]",""
"passed","Sun Dec 20 02:05:56 EST 2020","Sun Dec 20 02:05:58 EST 2020","2555","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2]",""
"passed","Sun Dec 20 02:06:53 EST 2020","Sun Dec 20 02:06:56 EST 2020","3394","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9]",""
"passed","Sun Dec 20 02:05:39 EST 2020","Sun Dec 20 02:05:42 EST 2020","3383","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0]",""
"passed","Sun Dec 20 02:06:20 EST 2020","Sun Dec 20 02:06:23 EST 2020","2473","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5]",""
